utdate	obsnum	subsysnr	subbands	file_id	instrume	obs_type
20190423	8	1	250MHzx8192	a20190423_00008_01_0001.sdf	HARP	science
20190423	10	1	250MHzx8192	a20190423_00010_01_0001.sdf	HARP	science
20190423	11	1	250MHzx8192	a20190423_00011_01_0001.sdf	HARP	science
20190423	11	1	250MHzx8192	a20190423_00011_01_0002.sdf	HARP	science
20190423	12	1	250MHzx8192	a20190423_00012_01_0001.sdf	HARP	science
20190423	12	1	250MHzx8192	a20190423_00012_01_0002.sdf	HARP	science
20190423	15	1	250MHzx8192	a20190423_00015_01_0001.sdf	HARP	science
20190423	15	1	250MHzx8192	a20190423_00015_01_0002.sdf	HARP	science
20190423	16	1	250MHzx8192	a20190423_00016_01_0001.sdf	HARP	science
20190423	16	1	250MHzx8192	a20190423_00016_01_0002.sdf	HARP	science
20190423	18	1	250MHzx8192	a20190423_00018_01_0001.sdf	HARP	science
20190423	18	1	250MHzx8192	a20190423_00018_01_0002.sdf	HARP	science
20190423	18	1	250MHzx8192	a20190423_00018_01_0003.sdf	HARP	science
20190423	18	1	250MHzx8192	a20190423_00018_01_0004.sdf	HARP	science
20190423	19	1	250MHzx8192	a20190423_00019_01_0001.sdf	HARP	science
20190423	19	1	250MHzx8192	a20190423_00019_01_0002.sdf	HARP	science
20190423	19	1	250MHzx8192	a20190423_00019_01_0003.sdf	HARP	science
20190423	19	1	250MHzx8192	a20190423_00019_01_0004.sdf	HARP	science
20190423	22	1	1000MHzx2048	a20190423_00022_01_0001.sdf	HARP	science
20190423	24	1	1000MHzx2048	a20190423_00024_01_0001.sdf	HARP	science
20190423	25	1	1000MHzx2048	a20190423_00025_01_0001.sdf	HARP	science
20190423	31	1	1000MHzx2048	a20190423_00031_01_0001.sdf	HARP	science
20190423	32	1	1000MHzx2048	a20190423_00032_01_0001.sdf	HARP	science
20190423	35	1	1000MHzx1024	a20190423_00035_01_0001.sdf	HARP	science
20190423	35	1	1000MHzx1024	a20190423_00035_02_0001.sdf	HARP	science
